seed,theta10_0_1,theta1_0_1,theta2_0_1,theta2_1_1,theta3_0_1
0,0.9901153092737384,1.09529420564619,1.0480803394593012,0.6883247154070288,0.9752243488085501
1,0.9859408647019423,0.9916824848482009,0.9631499301506605,0.6492993727650334,1.0141436756880604
2,1.0361030363730792,1.0057976826184027,1.0010050021497967,0.6157432365964371,0.9900886350306756
3,0.9903003134078392,1.009542873195732,0.9107904705898775,0.8819274447186678,0.9600703597782202
4,0.9451644815350695,0.9821606110212066,0.8890583189314674,0.8393517169722395,1.0251649750312768
5,1.0248046019462687,1.0205065517051966,0.8480480999520166,0.7573863951622503,0.9931111976243431
6,1.0284707142763596,1.035591538359102,1.0446643513489806,0.6574708207024157,1.0463268565316726
7,1.0204727599629662,1.013420483689879,1.1160444860506922,0.9096682236577023,1.0252398846033672
8,1.0462793830104842,1.056256464906068,1.1221701381249687,1.09647603415856,1.011088198569023
9,1.019080793263825,1.0087519960249385,1.1662797810446137,0.6925261122776968,1.048425980084933
10,1.0382950667254256,1.059608559719662,0.9593179909832922,0.7374381414508759,0.9349702151185999
11,1.0233766197859864,1.0072459503655882,0.9547378481229916,0.7538337078984092,1.0126617410182406
12,0.9668133610863088,0.9982688750929485,1.092883229725524,0.6913730268934407,1.0275440114080658
13,0.8937028595400411,0.9982930606387713,1.0662176157064382,0.5998790974762793,1.0070418728856974
14,0.9768251102039355,1.014771503587349,1.0030990427712492,0.8872775404942153,1.0239784537411618
15,0.9587052935016178,1.066213421366444,1.066139395065888,0.5925962065135068,0.9593548124223178
16,0.963157027367529,1.0042195591968668,1.0561711667967961,0.6782100621004964,0.9879748618795371
17,0.9904941994956119,1.0184539592759099,1.006347173771941,0.7755850159626976,1.0331570503336989
18,0.9779820442459909,1.022643993173115,0.9512805300167904,0.8452968419716163,0.9623808792475296
19,0.9701973585024168,1.0570630685627762,0.9989095051317269,0.6259781004797257,1.0034912818894062
20,1.0061383807815325,1.0184753278727965,0.9594762662835711,0.7365955791416838,1.0170262545245765
21,0.9623660377362613,1.0132031261869157,1.0516412440181802,0.9716517468049036,0.9975838819811245
22,1.0027295431244048,1.0061982979551798,0.9582676349967405,0.6842724856001984,0.9796406697836143
23,1.060621656739383,1.056261101678822,0.920999791365083,0.8492210823115021,1.0031564690318198
24,0.8865341566844572,0.958259555245462,0.7864848442700538,0.7023000361315367,1.0022421754127788
25,1.0626228176353045,1.0111120393392117,1.0123767826729582,0.6514160636921735,1.009351510865165
26,0.9283490441015964,0.9788438900972052,0.8825933020229175,0.53037734977847,1.0074384271940544
27,1.0605623432225613,1.0112730885393237,0.7501354829042409,0.7604020035771084,1.0261586670991303
28,0.9426110689916513,1.0124082966276045,0.9719134625748891,0.8343494452681685,0.9945849749872951
29,0.9681797525361732,1.0395723958653216,0.9666013447864851,0.7436589386596671,0.9863981244188454
30,0.8978780509819648,0.9596230503775175,1.0628574015807095,0.6259835087166723,0.9701867004483289
31,0.9422122008951508,1.0208653299857189,0.9545113607482005,0.7138146823942134,0.9732506135584362
32,0.8914297700922841,1.0041568898422544,1.0806873576334461,0.6546943751531686,0.9504505069361586
33,0.9409758941948126,1.0029929133780384,0.8286223301428232,0.6968215057866084,0.9984326474029261
34,0.9265742284547176,0.9930607631547627,1.087496691598875,0.8443636180713477,1.0210122912799895
35,0.9373689633931519,1.0005010043579194,0.8860695889525082,0.7086282373815778,0.9973618066893664
36,0.9916859070314685,1.029479158837269,0.9460956645163546,0.7372950618334512,1.0251901469289857
37,1.067850467691898,1.0939221986094807,0.9796847881137334,0.7216965900063043,1.0023549297175254
38,0.9405964728104118,0.9237975676946223,0.908839185950356,0.5876337841921545,1.0387715483627988
39,1.0382960302528461,0.999441228185738,0.8659091572849338,0.7273843546801144,0.9978020641136902
40,1.0430755033955978,1.0591357998675046,1.055160969401926,0.8969106313843822,1.0059629785829958
41,0.9377943274635112,1.052832501653087,1.0736745239083856,0.5767625373302349,0.9790887986076953
42,1.0354165619291622,1.0185052751862544,1.1160586538672117,0.7889098402989023,1.0014939670021756
43,0.9454962085009299,0.9430293728147244,0.9503660009237924,0.9525616273435606,1.049815279552723
44,0.9358850534603027,0.9676182362938147,1.0516868231397662,0.9071810289505954,0.9863914953763633
45,0.9495742354555682,0.9774751369668461,0.9577466855693686,0.6079026553317578,1.0153603428768687
46,1.012429773874849,1.0623245388742195,0.8952355947200104,0.6720937635816965,0.9948157620414914
47,0.8805403116486162,0.996444939047103,0.724543673082996,0.6777067158883907,0.9935305829205501
48,0.949302047157181,1.0143936782779017,1.3100450180395455,0.7267458192333037,1.0424624012029153
49,0.9796903581286673,1.062219470366764,1.1008403354420027,0.705425050773744,1.0089330407723913
50,0.9293463665198181,0.9796361098542661,1.0014658869252615,0.7570258139002533,0.9881665488786923
51,1.0364883902587256,1.0659487521263844,0.9623403708281655,0.811694107541362,1.0037075507234468
52,0.959270601855834,0.9508391246629407,0.9945949759045449,0.6524748613617848,1.0565619154974906
53,1.020491536909208,1.0811026389967788,1.1358358121730225,1.0471800916602196,0.9876365774327205
54,0.9485778285256639,1.0435219846341413,1.0139842933330534,0.7394572277417014,0.9896506460738427
55,0.9706345387866558,0.9790741408154743,0.9058496602762911,0.8412530447251938,1.0211855222289496
56,0.9635590013831511,0.9808718833384047,0.8576605949214072,0.9232378736240147,0.9784304402454915
57,0.9561391301900682,0.9834927802915736,1.2251183366627967,0.6357894096729414,1.0245488974859698
58,0.9747815593377183,1.0494960812772947,1.1847182459784502,0.7902982000456424,1.0136566372902505
59,0.9413822990638239,0.9885793907714422,1.029606364430578,0.778643044617498,1.0206465582238438
60,0.9925962120795119,1.0400348848708418,0.842909217342054,0.7506512911409404,1.0035693795969518
61,0.9579755540637629,0.9770240587743478,0.8871030333104687,0.761344289271933,1.0146992162167874
62,0.9594607511632486,0.9816364195980232,0.8072389937598093,0.8759337866089011,1.0049691402063818
63,0.9724322008974119,1.0361178205839137,0.9732667572852999,0.7341866453359669,0.9810506766152126
64,0.9711321274736189,1.0050630329675965,0.9493873240788058,0.6610467153712676,1.0092813766369253
65,0.9940520220965107,1.0515450519340779,0.974778877518514,0.8675854693896167,1.0062575092708828
66,0.992509247457599,1.0329376834139643,1.1429418991976399,0.7350407159705342,0.9977979606582642
67,0.9614801033202268,0.9835081067172388,0.9632621682489003,0.75438174490733,1.0022611532724668
68,0.9814131799147648,1.0106848409560416,0.8966862916250625,0.6702980732557929,1.0274339634973053
69,0.9120665077472119,0.9289828447983288,0.9733264026903758,0.8450542925682043,1.0153559852403502
