seed,theta10_0_1,theta10_0_2,theta10_0_3,theta10_0_4,theta10_0_5,theta1_0_1,theta1_0_2,theta1_0_3,theta1_0_4,theta1_0_5,theta2_0_1,theta2_0_2,theta2_0_3,theta2_0_4,theta2_0_5,theta2_1_1,theta2_1_2,theta2_1_3,theta2_1_4,theta2_1_5,theta3_0_1,theta3_0_2,theta3_0_3,theta3_0_4,theta3_0_5
0,0.1,0.8360553510632965,1.0038063979381093,1.0698454304318374,1.0991120174970372,0.9075939490121531,0.9974280901050636,1.0306560736059256,1.045923913909247,1.051855435672258,1.0085335590018059,1.0804698823434529,1.102097182155409,1.0974152439488916,1.093085335014288,0.7278713845980896,0.9112701301980831,0.9642775020061338,0.9796300055247694,0.9838676583812661,1.0045945025251375,1.002899576473388,1.00727245854207,1.0057148027068536,1.0054370097176832
1,2.0,1.5959407947458524,1.2806070769998008,1.1155144325047335,1.042437178851934,1.3339691742200244,1.1406145149917861,1.0571235422809169,1.021049428384929,1.005372151572624,0.9818460728699205,0.9857376798652004,0.9793646820911406,0.961326080782335,0.9519610436587137,0.8129429837774017,1.0278622027439628,1.0829603005924304,1.091671239917439,1.0911786299204174,0.983944512494911,0.9757670577709344,0.9803863682908112,0.9789738349512215,0.9786060244439702
2,0.1,0.7278262046092624,0.8757045250064092,0.9462119813465182,0.9793275571183541,0.8086124749269109,0.8806354828885079,0.9174874757004005,0.9349391615613488,0.9429028206362196,1.1136682188098226,1.248664880627839,1.2907400201960808,1.2974871071945184,1.2981262721341886,0.6867950322596589,0.8751112574245401,0.9329753097552167,0.9559329603951815,0.9648226162750412,1.0165439844053772,1.0262763862403657,1.0295383067810449,1.0279493268902016,1.027818539212356
3,0.1,0.8049950563848116,0.9578843980290236,1.0124623823101755,1.0348595963974243,0.9367727975739727,1.0143526883208112,1.0388641194604717,1.0498961485267704,1.053770114081641,0.9315516950517415,0.9775394344737712,0.9895948788306239,0.9825904170648526,0.9779863410982303,0.6959480048558168,0.8583507545459367,0.9019923444732487,0.9123227956608425,0.9143598414237806,0.982757739985648,0.9812981491397674,0.9856339575787245,0.9845235489240117,0.9843074007102537
4,0.1,0.7275482180999695,0.8557035448426198,0.8902814488551496,0.9021244548486942,0.9206824522043632,0.9924819685218705,1.0050308990778756,1.0099195779152679,1.0114317520641685,0.830846336123112,0.7958207606923068,0.7871382971872786,0.7732025546955706,0.7670333229922759,0.8280990549794033,0.995767409190207,1.0359384981321422,1.0387240254290888,1.0369504574816608,0.9908985723248104,0.976346501545217,0.98044699094057,0.9799356314362897,0.979721798556691
5,0.1,0.7690263276699763,0.9289870746903438,1.0036483264209155,1.0395104816581044,0.9007682059896241,0.9834375793348455,1.0202102854648363,1.03837977928116,1.0465289500075552,1.127418356847017,1.2534884436466476,1.2945770706948254,1.298472435183122,1.2974643994271031,0.7433427732377763,0.9515846734098921,1.016879709968947,1.0418269047928974,1.0512933769761381,1.0273405251943657,1.0311262605801506,1.035071430626025,1.032920558010559,1.0326098146019296
6,0.1,0.7023965244711173,0.8418831853742417,0.9005277267304396,0.927360385378121,0.8843558740463467,0.9527485039316627,0.9778131199708885,0.9908584463851229,0.9960740192091033,1.0507735412652826,1.1412384081786913,1.1688651947157687,1.1666976045432225,1.1632290958458797,0.7610605650895874,0.9607318599977077,1.0199095093280495,1.0390112539670877,1.0450424922775325,0.9652669682186122,0.9654594180547186,0.9695611152150136,0.9679546327921135,0.9676829670103198
7,0.1,0.7723780385425757,0.9220607805444585,0.9638798926456351,0.9795274758665355,0.8601535913273992,0.9459169960320479,0.9643849877168801,0.9711033516389584,0.973412420153857,0.9136848259743965,0.8699153099778643,0.8596589164702995,0.8395492500153184,0.8294614486216049,1.0020177736607039,1.2319078394990126,1.2944991119423734,1.3000352009855036,1.2972594990824942,1.0078772349200704,0.9868042369583495,0.9919288148457087,0.9912948359358763,0.9909288736396683
8,0.1,0.746630155305083,0.8869231643153426,0.9314858142100177,0.9491306442376243,0.873707937886633,0.9391637783411187,0.9570752135389854,0.9657886763253504,0.9685997478385434,0.9106141026342401,0.9156359007131158,0.9175261097725593,0.9044578425503772,0.8974438134897851,0.7828935566957813,0.9573147231470628,1.004253736604983,1.0119378000136612,1.0120373905886617,1.0394794865629724,1.0335848829454386,1.0399388808805898,1.0387938803413974,1.0384176896744608
9,0.1,0.8153230619563453,0.9616724800676193,1.002934347336744,1.017398290256285,0.8809858918120007,0.9605518661334727,0.979338371161576,0.9863123630104027,0.9884346991199879,0.8320515695876087,0.8128564976201376,0.8073049839436406,0.79456872424239,0.7887368213236278,0.7626879598694404,0.9223366592542241,0.9609875825950931,0.964858560215206,0.9637711027741841,1.0066123459656808,0.9946762540249438,0.9988345489508005,0.9981765846186783,0.9979543930482332
10,1.6107289526880129,1.2855789000949196,1.061151440798217,0.9493458259121719,0.9031082835360654,1.1713097484800317,1.0463666505991882,0.9943026237610088,0.9740411684582617,0.9655927596262489,0.9151279531989469,0.9200914760781127,0.9180813659855347,0.9035335158569507,0.8959857080335457,0.7858936038050635,0.978622433645027,1.0286565211477365,1.036511471350195,1.0363149182743294,0.992377211936009,0.983421033924196,0.9880924141295283,0.9869963630116221,0.986678429415662
11,2.0,1.6216525476696297,1.358874711161796,1.2104672281784092,1.1469191269447567,1.3332571973784733,1.1578771630091944,1.080465592684242,1.0482792063898971,1.0345245444359679,0.949338902188406,0.9243918577708788,0.9168224720320051,0.8947667558881339,0.8829669670631438,0.9977028290632148,1.2499547128982138,1.3222404699569699,1.3314258708417595,1.3294149268832716,1.010097614243304,0.9940502822140175,1.000743585966271,0.9996036750139623,0.9990291211837272
